lab-number;code;plotnb;plotID;plotfull;species;month;N;C
1;31-A1-Pr-Sep;31;A1;31.A1;Pr;Sep;0,41;43,03
2;21-A4-Ac-Sep;21;A4;21.A4;Ac;Sep;0,81;43,03
3;36-AE4-Ac-Sep;36;AE4;36.AE4;Ac;Sep;0,57;44,63
4;22-E1-Ca-Sep;22;E1;22.E1;Ca;Sep;0,94;44,73
5;74-A4-Ac-Sep;74;A4;74.A4;Ac;Sep;0,68;45,02
6;21-A4-So-Sep;21;A4;21.A4;So;Sep;0,70;44,63
7;32-E4-Be-Sep;32;E4;32.E4;Be;Sep;0,66;48,40
8;60-AE4-Be-Sep;60;AE4;60.AE4;Be;Sep;1,15;47,21
9;43-E2-Ti-Sep;43;E2;43.E2;Ti;Sep;1,19;43,35
10;28-AE4-Fr-Sep;28;AE4;28.AE4;Fr;Sep;0,78;43,56
11;10-A4-Pr-Sep;10;A4;10.A4;Pr;Sep;0,74;43,69
12;54-A2-Ac-Sep;54;A2;54.A2;Ac;Sep;0,88;45,26
13;67-AE2-Fr-Sep;67;AE2;67.AE2;Fr;Sep;0,78;42,38
14;77-A1-Pr-Sep;77;A1;77.A1;Pr;Sep;0,56;44,37
15;10-A4-So-Sep;10;A4;10.A4;So;Sep;0,54;43,60
16;57-AE2-Qu-Sep;57;AE2;57.AE2;Qu;Sep;1,58;46,23
17;36-AE4-Ti-Sep;36;AE4;36.AE4;Ti;Sep;0,90;42,91
18;14-AE4-Be-Sep;14;AE4;14.AE4;Be;Sep;0,59;47,18
19;74-A4-Ae-Sep;74;A4;74.A4;Ae;Sep;0,64;45,04
20;20-E1-Ti-Sep;20;E1;20.E1;Ti;Sep;1,22;44,14
21;33-A1-Ae-Sep;33;A1;33.A1;Ae;Sep;1,19;45,99
22;44-A4-So-Sep;44;A4;44.A4;So;Sep;0,61;44,24
23;14-AE4-Pr-Sep;14;AE4;14.AE4;Pr;Sep;0,40;42,70
24;13-E2-Ca-Sep;13;E2;13.E2;Ca;Sep;0,95;44,42
25;78-AE2-Ac-Sep;78;AE2;78.AE2;Ac;Sep;0,81;45,34
26;74-A4-Pr-Sep;74;A4;74.A4;Pr;Sep;0,64;43,53
27;25-A2-Pr-Sep;25;A2;25.A2;Pr;Sep;0,42;44,21
28;54-A2-So-Sep;54;A2;54.A2;So;Sep;0,86;45,16
29;17-A1-So-Sep;17;A1;17.A1;So;Sep;0,65;46,25
30;34-E4-Ti-Sep;34;E4;34.E4;Ti;Sep;0,86;42,81
31;65-AE2-Ca-Sep;65;AE2;65.AE2;Ca;Sep;0,78;44,35
32;1-AE2-Pr-Sep;1;AE2;1.AE2;Pr;Sep;0,34;43,83
33;4-E1-Qu-Sep;4;E1;4.E1;Qu;Sep;0,59;45,89
34;73-A2-Ae-Sep;73;A2;73.A2;Ae;Sep;0,73;46,86
35;76-E1-Be-Sep;76;E1;76.E1;Be;Sep;0,98;48,12
36;71-E4-Be-Sep;71;E4;71.E4;Be;Sep;1,02;47,86
37;49-AE4-Be-Sep;49;AE4;49.AE4;Be;Sep;0,68;47,51
38;52-A2-Ac-Sep;52;A2;52.A2;Ac;Sep;0,66;44,95
39;75-AE4-So-Sep;75;AE4;75.AE4;So;Sep;0,72;45,25
40;59-A4-Ac-Sep;59;A4;59.A4;Ac;Sep;0,55;44,76
41;69-A2-Fr-Sep;69;A2;69.A2;Fr;Sep;0,90;41,93
42;79-E4-Ti-Sep;79;E4;79.E4;Ti;Sep;1,02;43,32
43;26-A4-Ac-Sep;26;A4;26.A4;Ac;Sep;0,54;44,81
44;49-AE4-So-Sep;49;AE4;49.AE4;So;Sep;0,63;44,62
45;66-A4-Fr-Sep;66;A4;66.A4;Fr;Sep;0,95;42,94
46;53-A4-Fr-Sep;53;A4;53.A4;Fr;Sep;0,95;42,94
47;39-A2-Fr-Sep;39;A2;39.A2;Fr;Sep;0,85;42,77
48;68-A1-So-Sep;68;A1;68.A1;So;Sep;0,58;46,79
49;15-AE2-Ca-Sep;15;AE2;15.AE2;Ca;Sep;0,76;44,41
50;3-A2-Fr-Sep;3;A2;3.A2;Fr;Sep;1,29;43,46
51;50-A1-Ae-Sep;50;A1;50.A1;Ae;Sep;1,16;46,04
52;18-AE2-Be-Sep;18;AE2;18.AE2;Be;Sep;1,01;46,38
53;26-A4-So-Sep;26;A4;26.A4;So;Sep;0,67;44,94
54;5-E2-Be-Sep;5;E2;5.E2;Be;Sep;0,69;47,04
55;12-E4-Ti-Sep;12;E4;12.E4;Ti;Sep;1,02;44,07
56;59-A4-Ae-Sep;59;A4;59.A4;Ae;Sep;0,37;44,88
57;64-A2-Ae-Sep;64;A2;64.A2;Ae;Sep;0,60;45,24
58;53-A4-Pr-Sep;53;A4;53.A4;Pr;Sep;0,64;44,27
59;15-AE2-Fr-Sep;15;AE2;15.AE2;Fr;Sep;0,85;42,38
60;32-E4-Ca-Sep;32;E4;32.E4;Ca;Sep;0,76;44,25
61;44-A4-Pr-Sep;44;A4;44.A4;Pr;Sep;0,44;43,46
62;24-AE4-Fr-Sep;24;AE4;24.AE4;Fr;Sep;0,67;42,26
63;16-AE4-Be-Sep;16;AE4;16.AE4;Be;Sep;0,66;47,00
64;10-A4-Ae-Sep;10;A4;10.A4;Ae;Sep;0,44;44,17
65;40-A4-Ae-Sep;40;A4;40.A4;Ae;Sep;0,58;43,72
66;10-A4-Fr-Sep;10;A4;10.A4;Fr;Sep;1,36;42,68
67;58-E4-Qu-Sep;58;E4;58.E4;Qu;Sep;1,23;45,13
68;60-AE4-Fr-Sep;60;AE4;60.AE4;Fr;Sep;0,75;41,87
69;9-A2-Pr-Sep;9;A2;9.A2;Pr;Sep;1,04;43,53
70;42-AE4-Fr-Jul;42;AE4;42.AE4;Fr;Jul;1,20;42,99
71;15-AE2-Ca-Jul;15;AE2;15.AE2;Ca;Jul;1,13;45,16
72;59-A4-Ac-Jul;59;A4;59.A4;Ac;Jul;0,39;46,40
73;10-A4-Fr-Jul;10;A4;10.A4;Fr;Jul;1,68;43,54
74;43-E2-Be-Jul;43;E2;43.E2;Be;Jul;0,91;47,83
75;9-A2-Pr-Jul;9;A2;9.A2;Pr;Jul;0,77;42,75
76;74-A4-Ae-Jul;74;A4;74.A4;Ae;Jul;0,34;43,90
77;78-AE2-Ac-Jul;78;AE2;78.AE2;Ac;Jul;0,55;45,67
78;14-AE4-Pr-Jul;14;AE4;14.AE4;Pr;Jul;0,72;44,63
79;2-E1-Fa-Jul;2;E1;2.E1;Fa;Jul;1,96;47,28
80;73-A2-Ae-Jul;73;A2;73.A2;Ae;Jul;0,50;46,43
81;11-E2-Qu-Jul;11;E2;11.E2;Qu;Jul;1,74;45,04
82;60-AE4-Ti-Jul;60;AE4;60.AE4;Ti;Jul;0,67;42,43
83;24-AE4-Fr-Jul;24;AE4;24.AE4;Fr;Jul;1,16;43,91
84;65-AE2-Ca-Jul;65;AE2;65.AE2;Ca;Jul;0,78;44,94
85;26-A4-Ae-Jul;26;A4;26.A4;Ae;Jul;0,51;44,82
86;35-A2-Ac-Jul;35;A2;35.A2;Ac;Jul;0,71;45,06
87;45-E4-Ti-Jul;45;E4;45.E4;Ti;Jul;0,87;42,45
88;43-E2-Ti-Jul;43;E2;43.E2;Ti;Jul;1,13;42,94
89;48-E4-Be-Jul;48;E4;48.E4;Be;Jul;1,28;48,39
90;42-AE4-Pr-Jul;42;AE4;42.AE4;Pr;Jul;0,61;43,50
91;9-A2-Ac-Jul;9;A2;9.A2;Ac;Jul;1,19;45,21
92;8-A1-Fr-Jul;8;A1;8.A1;Fr;Jul;1,91;44,65
93;75-AE4-Ca-Jul;75;AE4;75.AE4;Ca;Jul;1,20;44,56
94;33-A1-Ae-Jul;33;A1;33.A1;Ae;Jul;0,95;45,86
95;16-AE4-Ca-Jul;16;AE4;16.AE4;Ca;Jul;1,15;44,49
96;72-E1-Ca-Mar;72;E1;72.E1;Ca;Mar;1,22;45,36
97;58-E4-Ca-Mar;58;E4;58.E4;Ca;Mar;1,18;43,40
98;75-AE4-Qu-Mar;75;AE4;75.AE4;Qu;Mar;0,93;45,35
99;24-AE4-Ca-Mar;24;AE4;24.AE4;Ca;Mar;1,00;45,42
100;51-E2-Ca-Mar;51;E2;51.E2;Ca;Mar;1,17;44,76
101;32-E4-Qu-Mar;32;E4;32.E4;Qu;Mar;1,03;50,68
102;48-E4-Ca-Mar;48;E4;48.E4;Ca;Mar;1,34;44,08
103;22-E1-Ca-Mar;22;E1;22.E1;Ca;Mar;1,25;44,39
104;57-AE2-Qu-Mar;57;AE2;57.AE2;Qu;Mar;0,91;45,43
105;38-AE2-Qu-Mar;38;AE2;38.AE2;Qu;Mar;0,91;44,81
106;32-E4-Ca-Mar;32;E4;32.E4;Ca;Mar;1,19;44,65
107;24-AE4-Ca-Feb;24;AE4;24.AE4;Ca;Feb;1,15;44,60
108;15-AE2-Ca-Feb;15;AE2;15.AE2;Ca;Feb;1,18;44,16
109;12-E4-Ca-Feb;12;E4;12.E4;Ca;Feb;1,22;43,56
110;75-AE4-Qu-Feb;75;AE4;75.AE4;Qu;Feb;1,12;45,71
111;72-E1-Ca-Feb;72;E1;72.E1;Ca;Feb;1,20;43,65
112;80-E2-Qu-Feb;80;E2;80.E2;Qu;Feb;0,80;45,30
113;2-E1-Fa-Feb;2;E1;2.E1;Fa;Feb;1,99;63,61
114;5-E2-Qu-Feb;5;E2;5.E2;Qu;Feb;0,79;45,63
115;48-E4-Ca-Feb;48;E4;48.E4;Ca;Feb;1,03;43,43
116;7-E4-Ca-Feb;7;E4;7.E4;Ca;Feb;1,24;44,26
117;29-E2-Ti-Jul;29;E2;29.E2;Ti;Jul;0,76;42,40
118;48-E4-Ca-Jul;48;E4;48.E4;Ca;Jul;1,13;45,01
119;29-E2-Fa-Jul;29;E2;29.E2;Fa;Jul;1,17;46,05
120;55-AE4-Ca-Jul;55;AE4;55.AE4;Ca;Jul;0,75;44,85
121;74-A4-Pr-Jul;74;A4;74.A4;Pr;Jul;0,58;43,23
122;28-AE4-Fr-Jul;28;AE4;28.AE4;Fr;Jul;1,34;44,32
123;13-E2-Ca-Jul;13;E2;13.E2;Ca;Jul;0,76;44,15
124;6-A4-So-Jul;6;A4;6.A4;So;Jul;0,57;44,40
125;25-A2-Pr-Jul;25;A2;25.A2;Pr;Jul;0,37;43,39
126;70-E1-Ti-Jul;70;E1;70.E1;Ti;Jul;0,85;43,17
127;27-E1-Be-Jul;27;E1;27.E1;Be;Jul;1,14;47,55
128;60-AE4-Ac-Jul;60;AE4;60.AE4;Ac;Jul;0,88;44,82
129;69-A2-Pr-Jul;69;A2;69.A2;Pr;Jul;0,39;42,98
130;1-AE2-Ti-Jul;1;AE2;1.AE2;Ti;Jul;1,14;43,27
131;40-A4-Ac-Jul;40;A4;40.A4;Ac;Jul;0,76;44,87
132;34-E4-Qu-Jul;34;E4;34.E4;Qu;Jul;1,53;46,06
133;7-E4-Ti-Jul;7;E4;7.E4;Ti;Jul;0,86;42,50
134;21-A4-Pr-Jul;21;A4;21.A4;Pr;Jul;0,65;43,21
135;67-AE2-Fr-Jul;67;AE2;67.AE2;Fr;Jul;1,28;44,48
136;1-AE2-Pr-Jul;1;AE2;1.AE2;Pr;Jul;0,41;44,08
137;28-AE4-Ti-Jul;28;AE4;28.AE4;Ti;Jul;0,90;42,77
138;44-A4-Pr-Jul;44;A4;44.A4;Pr;Jul;0,39;42,39
139;57-AE2-Qu-Jul;57;AE2;57.AE2;Qu;Jul;1,39;46,17
140;49-AE4-So-Jul;49;AE4;49.AE4;So;Jul;0,31;43,60
141;52-A2-Ac-Jul;52;A2;52.A2;Ac;Jul;0,75;45,54
142;44-A4-Ae-Jul;44;A4;44.A4;Ae;Jul;0,47;45,21
143;39-A2-Ae-Jul;39;A2;39.A2;Ae;Jul;0,56;46,01
144;54-A2-Ac-Jul;54;A2;54.A2;Ac;Jul;0,52;45,06
145;51-E2-Qu-Jul;51;E2;51.E2;Qu;Jul;1,46;45,61
146;17-A1-So-Jul;17;A1;17.A1;So;Jul;0,65;46,37
147;23-AE2-Fa-Jul;23;AE2;23.AE2;Fa;Jul;1,53;46,75
148;38-AE2-So-Jul;38;AE2;38.AE2;So;Jul;0,36;46,14
149;44-A4-So-Jul;44;A4;44.A4;So;Jul;0,61;44,10
150;37-E2-Be-May;37;E2;37.E2;Be;May;1,91;46,86
151;53-A4-Pr-May;53;A4;53.A4;Pr;May;1,20;42,21
152;48-E4-Be-May;48;E4;48.E4;Be;May;2,31;46,60
153;23-AE2-Ae-May;23;AE2;23.AE2;Ae;May;0,56;45,33
154;33-A1-Ae-May;33;A1;33.A1;Ae;May;0,98;47,18
155;74-A4-Pr-May;74;A4;74.A4;Pr;May;1,50;43,09
156;31-A1-Pr-May;31;A1;31.A1;Pr;May;1,33;43,22
157;57-AE2-Qu-May;57;AE2;57.AE2;Qu;May;0,89;45,06
158;51-E2-Ca-May;51;E2;51.E2;Ca;May;1,91;43,89
159;23-AE2-Fa-May;23;AE2;23.AE2;Fa;May;0,99;46,02
160;49-AE4-Be-May;49;AE4;49.AE4;Be;May;2,35;46,06
161;54-A2-Ac-May;54;A2;54.A2;Ac;May;2,54;44,33
162;5-E2-Be-May;5;E2;5.E2;Be;May;2,38;47,28
163;27-E1-Be-May;27;E1;27.E1;Be;May;2,46;48,12
164;30-E4-Be-May;30;E4;30.E4;Be;May;2,11;45,93
165;50-A1-Ae-May;50;A1;50.A1;Ae;May;1,15;45,74
166;53-A4-Ac-May;53;A4;53.A4;Ac;May;1,90;43,70
167;49-AE4-Be-Nov;49;AE4;49.AE4;Be;Nov;0,42;49,03
168;49-AE4-Fa-Nov;49;AE4;49.AE4;Fa;Nov;0,45;45,97
169;7-E4-Qu-Nov;7;E4;7.E4;Qu;Nov;0,68;44,37
170;5-E2-Qu-Nov;5;E2;5.E2;Qu;Nov;0,61;45,16
171;45-E4-Ti-Nov;45;E4;45.E4;Ti;Nov;1,00;43,01
172;3-A2-Fr-Nov;3;A2;3.A2;Fr;Nov;0,65;42,79
173;21-A4-Pr-Nov;21;A4;21.A4;Pr;Nov;0,52;43,13
174;30-E4-Be-Nov;30;E4;30.E4;Be;Nov;0,49;47,89
175;73-A2-So-Nov;73;A2;73.A2;So;Nov;0,42;46,36
176;30-E4-Ti-Nov;30;E4;30.E4;Ti;Nov;0,87;43,23
177;62-E2-Ca-Nov;62;E2;62.E2;Ca;Nov;0,76;45,09
178;54-A2-So-Nov;54;A2;54.A2;So;Nov;0,65;44,37
179;7-E4-Ca-Nov;7;E4;7.E4;Ca;Nov;0,56;45,68
180;79-E4-Be-Nov;79;E4;79.E4;Be;Nov;0,52;49,12
181;3-A2-So-Nov;3;A2;3.A2;So;Nov;0,33;45,65
182;52-A2-Fr-Nov;52;A2;52.A2;Fr;Nov;0,60;42,84
183;16-AE4-Ca-Nov;16;AE4;16.AE4;Ca;Nov;0,79;45,14
184;42-AE4-Pr-Nov;42;AE4;42.AE4;Pr;Nov;0,41;43,91
185;40-A4-Pr-Nov;40;A4;40.A4;Pr;Nov;0,43;44,24
186;67-AE2-Fr-Nov;67;AE2;67.AE2;Fr;Nov;0,39;42,97
187;12-E4-Ti-Nov;12;E4;12.E4;Ti;Nov;0,64;43,52
188;25-A2-So-Nov;25;A2;25.A2;So;Nov;0,36;44,53
189;23-AE2-Fa-Nov;23;AE2;23.AE2;Fa;Nov;0,66;46,77
190;59-A4-So-Nov;59;A4;59.A4;So;Nov;0,25;43,33
191;64-A2-Pr-Nov;64;A2;64.A2;Pr;Nov;0,37;45,41
192;66-A4-Pr-Nov;66;A4;66.A4;Pr;Nov;0,48;44,80
193;1-AE2-Ti-Nov;1;AE2;1.AE2;Ti;Nov;0,69;43,16
194;7-E4-Be-Nov;7;E4;7.E4;Be;Nov;0,44;48,85
195;70-E1-Ti-Nov;70;E1;70.E1;Ti;Nov;0,88;43,33
196;6-A4-So-Nov;6;A4;6.A4;So;Nov;0,59;43,78
197;74-A4-So-Nov;74;A4;74.A4;So;Nov;0,31;44,56
198;65-AE2-Ca-Nov;65;AE2;65.AE2;Ca;Nov;0,62;46,16
199;65-AE2-So-Nov;65;AE2;65.AE2;So;Nov;0,38;45,88
200;42-AE4-Fr-Nov;42;AE4;42.AE4;Fr;Nov;0,45;41,67
201;69-A2-Fr-Nov;69;A2;69.A2;Fr;Nov;0,49;42,24
202;79-E4-Fa-Nov;79;E4;79.E4;Fa;Nov;0,32;47,06
203;76-E1-Be-Nov;76;E1;76.E1;Be;Nov;0,44;49,18
204;6-A4-Fr-Nov;6;A4;6.A4;Fr;Nov;0,44;43,02
205;45-E4-Qu-Nov;45;E4;45.E4;Qu;Nov;0,59;44,72
206;11-E2-Qu-Nov;11;E2;11.E2;Qu;Nov;0,55;44,76
207;36-AE4-Pr-Nov;36;AE4;36.AE4;Pr;Nov;0,28;43,75
208;37-E2-Be-Nov;37;E2;37.E2;Be;Nov;0,40;49,25
209;21-A4-Fr-Nov;21;A4;21.A4;Fr;Nov;0,62;42,85
210;48-E4-Fa-Nov;48;E4;48.E4;Fa;Nov;0,44;46,23
211;77-A1-Pr-Nov;77;A1;77.A1;Pr;Nov;0,33;43,58
212;9-A2-Pr-Nov;9;A2;9.A2;Pr;Nov;0,46;43,67
213;34-E4-Qu-Nov;34;E4;34.E4;Qu;Nov;0,55;45,38
214;37-E2-Ca-Nov;37;E2;37.E2;Ca;Nov;0,56;45,24
215;48-E4-Ca-Nov;48;E4;48.E4;Ca;Nov;0,64;44,52
216;34-E4-Ti-Nov;34;E4;34.E4;Ti;Nov;0,75;43,30
217;31-A1-Pr-Nov;31;A1;31.A1;Pr;Nov;0,32;43,56
218;57-AE2-Ae-Nov;57;AE2;57.AE2;Ae;Nov;0,47;46,15
219;32-E4-Be-Nov;32;E4;32.E4;Be;Nov;0,40;49,04
220;73-A2-Ae-Nov;73;A2;73.A2;Ae;Nov;0,31;45,41
221;1-AE2-Pr-Nov;1;AE2;1.AE2;Pr;Nov;0,27;44,39
222;5-E2-Be-Nov;5;E2;5.E2;Be;Nov;0,39;48,67
223;40-A4-Fr-Nov;40;A4;40.A4;Fr;Nov;0,69;42,63
224;14-AE4-So-Nov;14;AE4;14.AE4;So;Nov;0,39;43,12
225;28-AE4-Qu-Nov;28;AE4;28.AE4;Qu;Nov;0,59;45,13
226;40-A4-Ac-Nov;40;A4;40.A4;Ac;Nov;0,32;42,13
227;51-E2-Ca-Nov;51;E2;51.E2;Ca;Nov;0,55;45,52
228;53-A4-Pr-Nov;53;A4;53.A4;Pr;Nov;0,36;43,53
229;71-E4-Qu-Nov;71;E4;71.E4;Qu;Nov;0,86;46,04
230;24-AE4-So-Nov;24;AE4;24.AE4;So;Nov;0,31;45,31
231;26-A4-Ac-Nov;26;A4;26.A4;Ac;Nov;0,37;43,12
232;2-E1-Fa-Nov;2;E1;2.E1;Fa;Nov;0,44;47,83
233;68-A1-So-Nov;68;A1;68.A1;So;Nov;0,38;45,05
234;50-A1-Ae-Nov;50;A1;50.A1;Ae;Nov;0,88;46,66
235;48-E4-Be-Nov;48;E4;48.E4;Be;Nov;0,52;49,04
236;61-A1-Fr-Nov;61;A1;61.A1;Fr;Nov;0,69;42,78
237;38-AE2-So-Nov;38;AE2;38.AE2;So;Nov;0,31;45,29
238;60-AE4-Fr-Nov;60;AE4;60.AE4;Fr;Nov;0,55;42,39
239;48-E4-Ti-Nov;48;E4;48.E4;Ti;Nov;0,87;44,05
240;52-A2-Ac-Nov;52;A2;52.A2;Ac;Nov;0,59;43,27
241;44-A4-Fr-Nov;44;A4;44.A4;Fr;Nov;0,70;41,27
242;18-AE2-Ac-Nov;18;AE2;18.AE2;Ac;Nov;0,53;43,39
243;18-AE2-Be-Nov;18;AE2;18.AE2;Be;Nov;0,62;48,86
244;22-E1-Ca-Nov;22;E1;22.E1;Ca;Nov;0,82;44,97
245;26-A4-So-Nov;26;A4;26.A4;So;Nov;0,51;44,24
246;15-AE2-Fr-Nov;15;AE2;15.AE2;Fr;Nov;0,85;43,26
247;41-AE2-Pr-Nov;41;AE2;41.AE2;Pr;Nov;0,40;43,82
248;59-A4-Ac-Nov;59;A4;59.A4;Ac;Nov;0,51;42,91
249;75-AE4-Ac-Nov;75;AE4;75.AE4;Ac;Nov;0,42;43,50
250;64-A2-Ae-Nov;64;A2;64.A2;Ae;Nov;0,81;45,25
251;66-A4-Fr-Nov;66;A4;66.A4;Fr;Nov;0,51;43,58
252;59-A4-Fr-Nov;59;A4;59.A4;Fr;Nov;0,54;43,47
253;71-E4-Be-Nov;71;E4;71.E4;Be;Nov;0,56;49,25