sample;P
64-A2-Ae-Sep;1.1691376039012662
53-A4-Pr-Sep;5.522533232465147
12-E4-Ti-Sep;3.303907860318226
59-A4-Ae-Sep;1.0764861952340157
53-A4-Fr-Sep;3.9508998159091426
76-E1-Be-Sep;3.3460579083003736
71-E4-Be-Sep;2.5833713590387104
49-AE4-Be-Sep;3.0672502225843354
75-AE4-So-Sep;4.012755175690256
52-A2-Ac-Sep;2.9924103856755924
32-E4-Ca-Sep;1.6649651024377086
66-A4-Fr-Sep;4.264394180847933
49-AE4-So-Sep;6.038235693482641
69-A2-Fr-Sep;2.665148105936531
59-A4-Ac-Sep;2.78212392405209
24-AE4-Fr-Sep;3.3240129902282027
5-E2-Be-Sep;2.5974481826637885
26-A4-So-Sep;4.731913550192232
26-A4-Ac-Sep;2.9821659441782646
79-E4-Ti-Sep;2.605412974210144
44-A4-Pr-Sep;4.830334359735621
15-AE2-Fr-Sep;4.782112708190737
3-A2-Fr-Sep;3.026529267117905
68-A1-So-Sep;3.7356283488306614
39-A2-Fr-Sep;4.690780723866895
10-A4-Ae-Sep;1.081781900159583
16-AE4-Be-Sep;2.7881649659524896
50-A1-Ae-Sep;1.173189859186633
18-AE2-Be-Sep;3.4799720263071747
15-AE2-Ca-Sep;1.7592899251506924
40-A4-Ae-Sep;1.8978027166166307
10-A4-Fr-Sep;2.9332874708582186
60-AE4-Fr-Sep;4.236434561470872
9-A2-Pr-Sep;3.8684817603366546
58-E4-Qu-Sep;2.787476673492567
32-E4-Be-Sep;2.478059167997566
10-A4-Pr-Sep;4.3258042436687205
21-A4-So-Sep;4.630487072005774
74-A4-Ac-Sep;2.959185191798351
54-A2-So-Sep;4.13214116355105
13-E2-Ca-Sep;1.21280989169667
4-E1-Qu-Sep;1.57059085119052
17-A1-So-Sep;2.32528865453151
73-A2-Ae-Sep;1.06965615685578
14-AE4-Pr-Sep;3.64889140939916
74-A4-Pr-Sep;2.66303223709482
44-A4-So-Sep;4.84288752887138
65-AE2-Ca-Sep;1.14116795419411
1-AE2-Pr-Sep;2.55294920024565
25-A2-Pr-Sep;3.11774192436784
33-A1-Ae-Sep;1.42857485420503
78-AE2-Ac-Sep;2.54682746444448
34-E4-Ti-Sep;2.55194944301628
74-A4-Ae-Sep;1.23928165065512
20-E1-Ti-Sep;2.12434783551897
10-A4-So-Sep;3.67638724536754
57-AE2-Qu-Sep;1.98303541956328
14-AE4-Be-Sep;2.78891212744618
77-A1-Pr-Sep;2.90037376255743
60-AE4-Be-Sep;2.06861486736261
21-A4-Ac-Sep;2.94315559270533
31-A1-Pr-Sep;3.11491783568898
67-AE2-Fr-Sep;1.46181657907513
36-AE4-Ti-Sep;2.8583103240344
22-E1-Ca-Sep;1.34942189632964
36-AE4-Ac-Sep;2.27466992373181
43-E2-Ti-Sep;3.24393212494337
54-A2-Ac-Sep;3.00952643268104
28-AE4-Fr-Sep;2.69149360440645
72-E1-Ca-Feb;0.512592945491615
48-E4-Ca-Feb;0.656896060164744
5-E2-Qu-Feb;0.526405064711794
2-E1-Fa-Feb;0.660220994475138
80-E2-Qu-Feb;0.439620792425926
7-E4-Ca-Feb;0.83496702905008
75-AE4-Qu-Feb;0.406630800984131
15-AE2-Ca-Feb;0.596672723002954
12-E4-Ca-Feb;0.484229485465968
24-AE4-Ca-Feb;0.6587301587301587
38-AE2-Qu-Mar;0.4825526224982747
32-E4-Ca-Mar;0.6759973113833654
57-AE2-Qu-Mar;0.8625705739560509
22-E1-Ca-Mar;0.7517422943323219
32-E4-Qu-Mar;0.663491856191347
48-E4-Ca-Mar;0.9389148489296557
58-E4-Ca-Mar;0.859581528621385
75-AE4-Qu-Mar;0.7383765755434001
24-AE4-Ca-Mar;0.4125228144671658
51-E2-Ca-Mar;0.5799900350705384
72-E1-Ca-Mar;0.6728483714488053
9-A2-Ac-July;1.1199475276043607
8-A1-Fr-July;1.7900744128362147
48-E4-Be-July;1.0484383624012905
45-E4-Ti-July;1.7128344294815006
42-AE4-Pr-July;2.277439947811095
43-E2-Ti-July;1.8270806214502664
43-E2-Be-July;1.7728616412826939
78-AE2-Ac-July;1.5162471016531758
35-A2-Ac-July;1.3751265581171472
29-E2-Ti-July;2.5385014633427496
73-A2-Ae-July;0.43727427958354104
9-A2-Pr-July;5.006857376299741
75-AE4-Ca-July;1.3776962352690234
26-A4-Ae-July;0.5021152526233472
65-AE2-Ca-July;0.835560202935595
16-AE4-Ca-July;1.6174663678695345
33-A1-Ae-July;3.369553713574142
11-E2-Qu-July;1.4781527939422674
59-A4-Ac-July;1.0238904846385628
74-A4-Ae-July;1.130752296313838
15-AE2-Ca-July;0.9725566256465132
2-E1-Fa-July;1.2820706384434981
14-AE4-Pr-July;2.1544640289247705
10-A4-Fr-July;1.9514771212564082
24-AE4-Fr-July;1.5895270964295984
42-AE4-Fr-July;1.832005777723271
60-AE4-Ti-July;1.8869661266568487
1-AE2-Pr-July;1.6839125
48-E4-Ca-July;1.99050201
39-A2-Ae-July;1.38297436
44-A4-Pr-July;2.13039662
40-A4-Ac-July;2.07917632
44-A4-So-July;2.66227212
67-AE2-Fr-July;2.03426471
28-AE4-Ti-July;2.33131752
7-E4-Ti-July;1.72736292
34-E4-Qu-July;1.91779528
55-AE4-Ca-July;1.50760178
27-E1-Be-July;2.37156812
69-A2-Pr-July;2.23715278
51-E2-Qu-July;1.66250991
57-AE2-Qu-July;1.89048828125
23-AE2-Fa-July;2.14219262
25-A2-Pr-July;1.89708827
21-A4-Pr-July;2.30485312899106
52-A2-Ac-July;2.0808782051282
28-AE4-Fr-July;2.1654748603352
44-A4-Ae-July;1.93567892503536
38-AE2-So-July;1.97365652724968
70-E1-Ti-July;2.12649032258065
49-AE4-So-July;3.84994436717663
54-A2-Ac-July;2.17001960784314
29-E2-Fa-July;1.9857087628866
74-A4-Pr-July;2.06575305291723
13-E2-Ca-July;1.78115231788079
6-A4-So-July;2.88575459317585
17-A1-So-July;1.93829655172414
1-AE2-Ti-July;2.0106384323641
60-AE2-Ac-July;2.36665172855314
51-E2-Ca-May;2.41714912280702
23-AE2-Fa-May;1.49830294530154
31-A1-Pr-May;3.3870460199005
27-E1-Be-May;2.80480082417582
49-AE4-Be-May;2.95425444596443
30-E4-Be-May;2.70337752525252
5-E2-Be-May;3.06432989690722
48-E4-Be-May;0.870239662874268
37-E2-Be-May;0.7466178504740072
54-A2-Ac-May;1.168400182363731
53-A4-Pr-May;1.0868675542691333
23-AE2-Ae-May;0.8352368719113638
53-A4-Ac-May;1.1752183822197608
50-A1-Ae-May;0.9855963715526828
74-A4-Pr-May;1.004665128273189
33-A1-Ae-May;0.6379080750684434
57-AE2-Qu-May;0.5259338786437234
44-A4-Fr-Nov;1.0588787839972675
14-AE4-So-Nov;1.1434286296692655
28-AE4-Qu-Nov;0.6429574793565842
52-A2-Ac-Nov;0.5681308094390112
41-AE2-Pr-Nov;0.7080355900433009
5-E2-Be-Nov;0.7283870830474307
68-A1-So-Nov;0.7066308014175315
40-A4-Ac-Nov;0.3972175192507137
24-AE4-So-Nov;0.947731228050123
22-E1-Ca-Nov;0.5742792386814877
71-E4-Be-Nov;0.711772316555594
40-A4-Fr-Nov;1.1445944737548064
50-A1-Ae-Nov;0.5734327472680331
18-AE2-Ac-Nov;0.6102478986275256
75-AE2-Ac-Nov;0.8449979793526583
18-AE2-Be-Nov;0.7337830642428725
48-E4-Be-Nov;0.8363937273889883
59-A4-Ac-Nov;0.48704777394493837
66-A4-Fr-Nov;0.8818605664227609
15-AE2-Fr-Nov;1.0765373738850512
38-AE2-So-Nov;0.9159355988034017
2-E1-Fa-Nov;0.46569914727925843
21-A4-Pr-Nov;1.079515534491838
64-A2-Ae-Nov;0.5171047825076263
60-AE4-Fr-Nov;0.9558416255557783
59-A4-Fr-Nov;1.0060588923516987
26-A4-So-Nov;0.9631198595936196
48-E4-Ti-Nov;0.9453794578995163
26-A4-Ac-Nov;0.5745255504094579
61-A1-Fr-Nov;5.88529562982005
71-E4-Qu-Nov;2.25982375979112
53-A4-Pr-Nov;4.70264211886305
51-E2-Ca-Nov;1.76816185696361
34-E4-Ti-Nov;3.37486357435198
34-E4-Qu-Nov;2.29069920844327
48-E4-Ca-Nov;2.54702983138781
9-A2-Pr-Nov;4.12443977591036
77-A1-Pr-Nov;3.40762388818297
33-E4-Be-Nov;2.80028698979592
57-AE2-Ae-Nov;1.86553645116919
31-A1-Pr-Nov;3.65176356589147
37-E2-Be-Nov;2.91114058355438
73-A2-Ae-Nov;1.36436497326203
1-AE2-Pr-Nov;2.6368090787717
37-E2-Ca-Nov;1.95708165997323
11-E2-Qu-Nov;2.3374133148405
65-AE2-Ca-Nov;1.92153113087675
45-E4-Qu-Nov;2.17063522012579
74-A4-So-Nov;5.64174706649283
66-A4-Pr-Nov;3.56757555847569
3-A2-Fr-Nov;3.20485175202156
5-E2-Qu-Nov;1.99984713375796
30-E4-Ti-Nov;3.3393596377749
12-E4-Ti-Nov;2.9402668360864
48-E4-Fa-Nov;2.66201044386423
1-AE2-Ti-Nov;3.54787162162162
6-A4-So-Nov;5.62593959731544
45-E4-Ti-Nov;3.72620505992011
21-A4-Fr-Nov;6.3329619921363
52-A2-Fr-Nov;4.4961243718593
42-AE4-Fr-Nov;5.09455938697318
3-A2-So-Nov;3.3467048346056
69-A2-Fr-Nov;5.48974059662776
65-AE2-So-Nov;4.26850877192982
42-AE4-Pr-Nov;4.79408422459893
25-A2-So-Nov;4.21762942779292
7-E4-Be-Nov;3.00687336814621
79-E4-Fa-Nov;2.02893222506394
70-E1-Ti-Nov;2.45246231155779
36-AE4-Pr-Nov;3.60055102040816
76-E1-Be-Nov;2.22256016042781
6-A4-Fr-Nov;5.21072591587517
7-E4-Ca-Nov;1.6496442687747
49-AE4-Fa-Nov;3.53704697986577
7-E4-Qu-Nov;1.61253530166881
16-AE4-Ca-Nov;1.7620150273224
73-A2-So-Nov;3.32194409148666
54-A2-So-Nov;6.19717541436464
23-AE2-Fa-Nov;2.08616643929059
49-AE4-Be-Nov;3.14726205997392
62-E2-Ca-Nov;1.95549399198932
67-AE2-Fr-Nov;2.49365485564304
59-A4-So-Nov;4.85859435173299
40-A4-Pr-Nov;3.3683681462141
79-E4-Be-Nov;2.23500641025641
30-E4-Be-Nov;2.88115026595745
64-A2-Pr-Nov;2.96153378378378